"url","route_pattern","diff_type","observed_status","canonical","notes"
"https://www.enhe-tech.com.cn/","/","MATCHED","200","https://www.enhe-tech.com.cn","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/en","/en","MATCHED","200","https://www.enhe-tech.com.cn/en","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/about","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/about","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/about","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/about","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/ai-topics","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-topics","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-topics","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-topics","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-content-creation-tools","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-topics/ai-content-creation-tools","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-topics/local-ai-deployment","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-topics/local-ai-deployment","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-account-service-compliance","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-topics/ai-account-service-compliance","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-topics/ai-skill-learning-path","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-topics/ai-skill-learning-path","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/build-your-own-x","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/build-your-own-x","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/build-your-own-x","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/build-your-own-x","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/software","/software","MATCHED","200","https://www.enhe-tech.com.cn/software","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/en/software","/en/software","MATCHED","200","https://www.enhe-tech.com.cn/en/software","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/ai-skills","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/ai-skills","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/en/ai-skills","","CODE_PRODUCTION_DRIFT","200","https://www.enhe-tech.com.cn/en/ai-skills","sitemap URL has no matching public local page pattern"
"https://www.enhe-tech.com.cn/online-tools/seo-geo-audit","/online-tools/:slug","MATCHED","200","https://www.enhe-tech.com.cn/online-tools/seo-geo-audit","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/en/online-tools/seo-geo-audit","/en/online-tools/:slug","MATCHED","200","https://www.enhe-tech.com.cn/en/online-tools/seo-geo-audit","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/account-services","/account-services","MATCHED","200","https://www.enhe-tech.com.cn/account-services","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/en/account-services","/en/account-services","MATCHED","200","https://www.enhe-tech.com.cn/en/account-services","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/skill-learning","/skill-learning","MATCHED","200","https://www.enhe-tech.com.cn/skill-learning","public sitemap, HTTP, local route and canonical aligned at observed time"
"https://www.enhe-tech.com.cn/en/skill-learning","/en/skill-learning","MATCHED","200","https://www.enhe-tech.com.cn/en/skill-learning","public sitemap, HTTP, local route and canonical aligned at observed time"
