run,viewport,locale,path,pageKind,targetType,targetIndex,supportRect,targetRect,gap,intersection,verticalIntersection,targetClientWidth,targetScrollWidth,targetClientHeight,targetScrollHeight,rootOverflow,textClipped,supportMode,supportWidth,supportHeight,exclusionReserve,targetMarginInlineEnd,targetMarginInlineStart,targetPaddingInlineEnd,cardWidth,railWidth,gridWidth,layoutChanged,candidateCount,pass,repeatStable
1,320,zh,/software,software,new-releases,3,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117,""right"":227,""top"":800.046875,""bottom"":844.046875,""width"":110,""height"":44}",33,0,27.953125,110,110,44,44,0,false,icon,44,44,52,52,52,0,256,1118,320,false,4,true,true
1,320,zh,/software,software,featured,2,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.59375,""right"":227.390625,""top"":799.828125,""bottom"":843.828125,""width"":122.796875,""height"":44}",32.609375,0,28.171875,123,123,44,44,0,false,icon,44,44,52,52,52,0,268.796875,882,320,false,3,true,true
1,320,zh,/software,software,all-products,0,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.734375,""bottom"":843.734375,""width"":186,""height"":44}",33,0,28.265625,186,186,44,44,0,false,icon,44,44,52,52,0,0,280,0,280,false,12,true,true
1,320,zh,/software,software,load-more,0,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":797.0625,""bottom"":843.859375,""width"":102,""height"":46.796875}",138,0,30.9375,100,100,45,45,0,false,icon,44,44,52,0,0,18,0,0,0,false,1,true,true
1,320,zh,/software,software,footer-link,0,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":248,""top"":799.859375,""bottom"":843.859375,""width"":228,""height"":44}",12,0,28.140625,228,228,44,44,0,false,icon,44,44,52,0,0,0,0,0,0,false,13,true,true
1,321,zh,/software,software,new-releases,3,"{""left"":261,""right"":305,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117.390625,""right"":228.1875,""top"":800.484375,""bottom"":844.484375,""width"":110.796875,""height"":44}",32.8125,0,27.515625,111,111,44,44,0,false,icon,44,44,52,52,52,0,256.796875,1121,321,false,4,true,true
1,321,zh,/software,software,featured,2,"{""left"":261,""right"":305,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.25,""right"":227.875,""top"":799.734375,""bottom"":843.734375,""width"":123.625,""height"":44}",33.125,0,28.265625,124,124,44,44,0,false,icon,44,44,52,52,52,0,269.625,885,321,false,3,true,true
1,321,zh,/software,software,all-products,0,"{""left"":261,""right"":305,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":228,""top"":800.203125,""bottom"":844.203125,""width"":187,""height"":44}",33,0,27.796875,187,187,44,44,0,false,icon,44,44,52,52,0,0,281,0,281,false,12,true,true
1,321,zh,/software,software,load-more,0,"{""left"":261,""right"":305,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":796.71875,""bottom"":843.515625,""width"":102,""height"":46.796875}",139,0,31.28125,100,100,45,45,0,false,icon,44,44,52,0,0,18,0,0,0,false,1,true,true
1,321,zh,/software,software,footer-link,0,"{""left"":261,""right"":305,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":249,""top"":799.515625,""bottom"":843.515625,""width"":229,""height"":44}",12,0,28.484375,229,229,44,44,0,false,icon,44,44,52,0,0,0,0,0,0,false,13,true,true
1,322,zh,/software,software,new-releases,3,"{""left"":262,""right"":306,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117.78125,""right"":229.375,""top"":799.9375,""bottom"":843.9375,""width"":111.59375,""height"":44}",32.625,0,28.0625,112,112,44,44,0,false,icon,44,44,52,52,52,0,257.59375,1124,322,false,4,true,true
1,322,zh,/software,software,featured,2,"{""left"":262,""right"":306,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.9375,""right"":229.40625,""top"":799.65625,""bottom"":843.65625,""width"":124.46875,""height"":44}",32.59375,0,28.34375,124,124,44,44,0,false,icon,44,44,52,52,52,0,270.46875,887,322,false,3,true,true
1,322,zh,/software,software,all-products,0,"{""left"":262,""right"":306,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":229,""top"":799.6875,""bottom"":843.6875,""width"":188,""height"":44}",33,0,28.3125,188,188,44,44,0,false,icon,44,44,52,52,0,0,282,0,282,false,12,true,true
1,322,zh,/software,software,load-more,0,"{""left"":262,""right"":306,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":797.390625,""bottom"":844.1875,""width"":102,""height"":46.796875}",140,0,30.609375,100,100,45,45,0,false,icon,44,44,52,0,0,18,0,0,0,false,1,true,true
1,322,zh,/software,software,footer-link,0,"{""left"":262,""right"":306,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":250,""top"":800.1875,""bottom"":844.1875,""width"":230,""height"":44}",12,0,27.8125,230,230,44,44,0,false,icon,44,44,52,0,0,0,0,0,0,false,13,true,true
1,323,zh,/software,software,new-releases,3,"{""left"":263,""right"":307,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117.171875,""right"":229.5625,""top"":800.390625,""bottom"":844.390625,""width"":112.390625,""height"":44}",33.4375,0,27.609375,112,112,44,44,0,false,icon,44,44,52,52,52,0,258.390625,1128,323,false,4,true,true
1,323,zh,/software,software,featured,2,"{""left"":263,""right"":307,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.625,""right"":229.9375,""top"":799.59375,""bottom"":843.59375,""width"":125.3125,""height"":44}",33.0625,0,28.40625,125,125,44,44,0,false,icon,44,44,52,52,52,0,271.3125,890,323,false,3,true,true
1,323,zh,/software,software,all-products,0,"{""left"":263,""right"":307,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":230,""top"":800.1875,""bottom"":844.1875,""width"":189,""height"":44}",33,0,27.8125,189,189,44,44,0,false,icon,44,44,52,52,0,0,283,0,283,false,12,true,true
1,323,zh,/software,software,load-more,0,"{""left"":263,""right"":307,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":797.078125,""bottom"":843.875,""width"":102,""height"":46.796875}",141,0,30.921875,100,100,45,45,0,false,icon,44,44,52,0,0,18,0,0,0,false,1,true,true
1,323,zh,/software,software,footer-link,0,"{""left"":263,""right"":307,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":251,""top"":799.875,""bottom"":843.875,""width"":231,""height"":44}",12,0,28.125,231,231,44,44,0,false,icon,44,44,52,0,0,0,0,0,0,false,13,true,true
