"source_url","source_type","route_pattern","diff_type","initial_http_status","first_redirect_target","redirect_chain","redirect_hop_count","final_url","final_http_status","canonical","content_language","hreflang_en_present","sitemap_included","notes"
"https://www.enhe-tech.com.cn/ai-skills","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-skills","200","https://www.enhe-tech.com.cn/ai-skills","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-skills/a-skill","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-skills/a-skill","200","https://www.enhe-tech.com.cn/ai-skills/a-skill","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-skills/seo-geo-skill","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-skills/seo-geo-skill","200","https://www.enhe-tech.com.cn/ai-skills/seo-geo-skill","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-topics","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-topics","200","https://www.enhe-tech.com.cn/ai-topics","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","200","https://www.enhe-tech.com.cn/ai-topics/ai-account-service-compliance","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","200","https://www.enhe-tech.com.cn/ai-topics/ai-content-creation-tools","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","200","https://www.enhe-tech.com.cn/ai-topics/ai-skill-learning-path","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","200","https://www.enhe-tech.com.cn/ai-topics/local-ai-deployment","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/build-your-own-x","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/build-your-own-x","200","https://www.enhe-tech.com.cn/build-your-own-x","zh-CN","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/en/about","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/en/about","200","https://www.enhe-tech.com.cn/en/about","en-US","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/en/ai-skills","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/en/ai-skills","200","https://www.enhe-tech.com.cn/en/ai-skills","en-US","True","YES","sitemap/core URL has no matching local public page pattern"
"https://www.enhe-tech.com.cn/en/ai-skills/a-skill","sitemap","","CODE_PRODUCTION_DRIFT","200","","","0","https://www.enhe-tech.com.cn/en/ai-skills/a-skill","200","https://www.enhe-tech.com.cn/en/ai-skills/a-skill","en-US","True","YES","sitemap/core URL has no matching local public page pattern"
